iter	Passed	Remaining
0	0	29
1	0	32
2	1	33
3	1	30
4	1	29
5	1	29
6	2	29
7	2	29
8	2	28
9	3	27
10	3	27
11	3	27
12	4	27
13	4	26
14	4	26
15	4	25
16	5	25
17	5	24
18	5	24
19	5	23
20	6	23
21	6	22
22	6	22
23	6	22
24	7	22
25	7	21
26	7	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	20
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	14
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	20	7
73	21	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	5
79	22	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	3
86	24	3
87	25	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	27	0
99	28	0
